rater_id,first_name,last_name,gender,education_id
0,James,Smith,Male,0
1,John,Williams,Male,3
2,Robert,Johnson,Male,3
3,Patricia,Brown,Female,2
4,William,Jones,Male,1
5,David,Garcia,Male,3
6,Jennifer,Miller,Female,0
7,Joseph,Davis,Male,0
8,Thomas,Rodriguez,Male,0
9,Charles,Martinez,Male,1
10,Linda,Hernandez,Female,2
11,Daniel,Lopez,Male,2
12,Barbara,Gonzalez,Female,0
13,Anthony,Wilson,Male,1
14,Elizabeth,Anderson,Female,0
15,Andrew,Thomas,Male,3
16,Susan,Taylor,Female,2
17,Paul,Moore,Male,1
18,Jessica,Jackson,Female,2
19,Kevin,Martin,Male,1
20,Brian,Lee,Male,2
21,Jason,Perez,Male,1
22,Sarah,Thompson,Female,1
23,Karen,White,Female,3
24,Ryan,Harris,Male,3
25,Nancy,Sanchez,Female,0
26,Margaret,Clark,Female,3
27,Lisa,Ramirez,Female,2
28,Ashley,Lewis,Female,2
29,Jacob,Robinson,Male,2
30,Sandra,Walker,Female,1
31,Kimberly,Young,Female,3
32,Emily,Allen,Female,2
33,Donna,King,Female,1
34,Nathan,Wright,Male,3
35,Michelle,Scott,Female,3
36,Amanda,Torres,Female,1
37,Mark,Nguyen,Male,0
38,Stephanie,Hill,Female,3
39,Joshua,Flores,Male,2
40,Michael,Green,Male,0
41,Christopher,Adams,Male,1
42,Laura,Nelson,Female,3
43,Steven,Baker,Male,1
44,Melissa,Hall,Female,3
45,Rachel,Rivera,Female,2
46,Samantha,Campbell,Female,1
47,Matthew,Mitchell,Male,0
48,Richard,Carter,Male,3
